draft_year,pick,player,wiki_title,views_predraft,hype,surplus
2020,34,Théo Maledon,Théo Maledon,21705.0,4.336579798674038,-3.846666666666666
2020,35,Xavier Tillman Sr.,Xavier Tillman,43444.0,4.637939801558909,6.30952380952381
2020,36,Tyler Bey,Tyler Bey,6096.0,3.78511619502192,-4.434285714285714
2020,37,Vít Krejčí,Vít Krejčí,0.0,0.0,-3.003809523809524
2020,38,Saben Lee,Saben Lee,1281.0,3.1078880251827985,-0.5838095238095233
2020,39,Elijah Hughes,Elijah Hughes,6087.0,3.7844746437625165,-4.423809523809524
2020,40,Robert Woodard II,Robert Woodard II,2017.0,3.3049211619008916,-3.976190476190476
2020,41,Tre Jones,Tre Jones,88304.0,4.94598529486785,8.218095238095238
2020,42,Nick Richards,Nick Richards,3729.0,3.571708831808688,7.100952380952382
2020,43,Jahmi'us Ramsey,Jahmi'us Ramsey,10111.0,4.00483706093831,-3.1457142857142855
2020,44,Marko Simonovic,"Marko Simonović (basketball, born 1986)",5036.0,3.702171950857711,-2.927619047619048
2020,45,Jordan Nwora,Jordan Nwora,36880.0,4.566802688102689,0.30095238095238086
2020,46,CJ Elleby,C. J. Elleby,2170.0,3.3366598234544202,-1.9657142857142857
2020,47,Yam Madar,Yam Madar,8521.0,3.9305415298644344,-2.56
2020,48,Nico Mannion,Nico Mannion,146386.0,5.165502510609339,-2.1533333333333333
2020,49,Isaiah Joe,Isaiah Joe,5118.0,3.7091851295502454,6.141904761904763
2020,50,Skylar Mays,Skylar Mays,6305.0,3.799753966411886,0.27333333333333365
2020,51,Justinian Jessup,Justinian Jessup,1995.0,3.3001605369513523,-1.6295238095238094
2020,52,KJ Martin,KJ Williams,0.0,0.0,9.872380952380952
2020,53,Cassius Winston,Cassius Winston,102893.0,5.01239005073071,-0.836190476190476
2020,54,Cassius Stanley,Cassius Stanley,80147.0,4.903892689512359,-0.8266666666666668
2020,55,Jay Scrubb,Jay Scrubb,19651.0,4.293406755462784,-0.6161904761904762
2020,56,Grant Riller,Grant Riller,2762.0,3.4413808849165113,-0.5047619047619047
2020,57,Reggie Perry,Reggie Perry (basketball),14156.0,4.150971232062612,-0.1459383753501401
2020,58,Paul Reed,Paul Reed (basketball),3049.0,3.484299839346786,9.034894957983195
2020,59,Jalen Harris,Jalen Harris,2033.0,3.308350948586726,-0.42900035014005594
2020,60,Sam Merrill,Sam Merrill,13293.0,4.123655674438122,2.5914915966386554
