Year,Rd,Pk,Tm,Player,College,Yrs,WS,WS/48
2006,3,54,NJN,Hassan Adams,Arizona,2,0.8,.072
2006,3,55,CLE,Ejike Ugboaja,,,,
2006,3,56,TOR,Edin Bavčić,,,,
2006,3,57,MIN,Loukas Mavrokefalidis,,,,
2006,3,58,DAL,J.R. Pinnock,George Washington,,,
2006,3,59,SAS,Damir Markota,,1,-0.2,-.070
2006,3,60,DET,Will Blalock,Iowa State,1,-0.1,-.032
2007,1,1,POR,Greg Oden,Ohio State,3,7.3,.174
2007,1,2,SEA,Kevin Durant,Texas,18,186.1,.203
2007,1,3,ATL,Al Horford,Florida,19,119.4,.155
2007,1,4,MEM,Mike Conley,Ohio State,19,107.6,.137
2007,1,5,BOS,Jeff Green,Georgetown,18,56.1,.080
2007,1,6,MIL,Yi Jianlian,,5,3.1,.025
2007,1,7,MIN,Corey Brewer,Florida,13,22.5,.058
2007,1,8,CHA,Brandan Wright,UNC,10,26.2,.181
2007,1,9,CHI,Joakim Noah,Florida,13,61.9,.159
2007,1,10,SAC,Spencer Hawes,Washington,10,22.6,.070
2007,1,11,ATL,Acie Law,Texas A&M,4,1.6,.032
2007,1,12,PHI,Thaddeus Young,Georgia Tech,17,71.9,.105
2007,1,13,NOK,Julian Wright,Kansas,4,3.9,.061
2007,1,14,LAC,Al Thornton,Florida State,4,6.1,.035
2007,1,15,DET,Rodney Stuckey,Eastern Washington,10,28.7,.077
2007,1,16,WAS,Nick Young,USC,12,18.6,.054
2007,1,17,NJN,Sean Williams,Boston College,4,3.0,.073
2007,1,18,GSW,Marco Belinelli,,13,30.5,.075
2007,1,19,LAL,Javaris Crittenton,Georgia Tech,2,0.1,.002
2007,1,20,MIA,Jason Smith,Colorado State,11,14.1,.067
2007,1,21,PHI,Daequan Cook,Ohio State,6,4.9,.039
